StudentID,Name,Department,Semester,Attendance,StudyHours,AssignmentsCompleted,InternalMarks,PracticalMarks,FinalExamMarks,Result,TotalMarks
1,Aarav,CSE,8,92,5,10,24,46,78,Pass,148
2,Vihaan,CSE,8,88,4,9,22,42,72,Pass,136
3,Aditya,CSE,8,75,2,6,16,35,54,Pass,105
4,Krishna,CSE,8,60,1,4,12,28,38,Fail,78
5,Rohan,CSE,8,95,6,10,25,48,82,Pass,155
6,Ishaan,CSE,8,82,3,8,20,40,65,Pass,125
7,Arjun,CSE,8,55,1,3,10,25,35,Fail,70
8,Soham,CSE,8,90,5,9,23,45,76,Pass,144
9,Yash,CSE,8,78,3,7,18,37,58,Pass,113
10,Om,CSE,8,65,2,5,14,30,42,Fail,86
11,Raj,CSE,8,98,7,10,25,49,88,Pass,162
12,Kunal,CSE,8,85,4,8,21,41,69,Pass,131
13,Pranav,CSE,8,72,2,6,15,34,50,Pass,99
14,Atharva,CSE,8,58,1,3,11,27,36,Fail,74
15,Shubham,CSE,8,93,6,10,24,47,80,Pass,151
